JobTitle,Company,Location,Salary,PostDate,Summary,JobUrl
Corporate Counsel - Development,"Marriott International, Inc",Dubai,"This position will be located in Marriott International’s office in Dubai and will report to the VP & Assistant General Counsel.
Fluency in Arabic is preferred.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=54bb364182960c2c&fccid=d47acb5b5596d9e4&vjs=3
ALSS Senior Engineer - Pump Mechanics,Farah Experiences,Abu Dhabi,The ALSS (Animal Life Support Systems) Engineers and Technicians in carrying out the tasks related to ALSS; thus directly impacting the health and safety of…,,19 days ago,https://ae.indeed.com/rc/clk?jk=b422132dd103d4ed&fccid=928854a9391cd3bb&vjs=3
Senior Projects Lawyer,Clifford Chance LLP,Dubai,"Our clients include public and private corporations, investment banks and financial institutions, governments and international bodies.",,6 days ago,https://ae.indeed.com/rc/clk?jk=a1f0aaea46a56d05&fccid=b86b23baf1e359f5&vjs=3
ALSS Senior Engineer - Systems Automation,Farah Experiences,Abu Dhabi,The ALSS (Animal Life Support Systems) Engineers and Technicians in carrying out the tasks related to ALSS; thus directly impacting the health and safety of…,,19 days ago,https://ae.indeed.com/rc/clk?jk=a1b1307038654485&fccid=928854a9391cd3bb&vjs=3
Assistant Professor in Accounting,Al Khawarizmi International College,UAE,"Provide students with academic advising during the registration period, constantly monitor their study plans and adhere to office hours.",,21 days ago,https://ae.indeed.com/rc/clk?jk=48d79536de19c2c9&fccid=e5e4309ec04ef187&vjs=3
Assistant Officer,Julphar,Ras al-Khaimah,Job Title: Assistant Officer Division: Research & Development - Analytical Country: UNITED ARAB EMIRATES Work Location: UAE (RAK head office) Job Type:…,,30+ days ago,https://ae.indeed.com/rc/clk?jk=00d1267c01b92e7a&fccid=02ea1bee6fdc4b67&vjs=3
Company Secretary,Talent Zone Consultants,Dubai,Secretary / customer support (Female) Salary - 5000 Dhirams Experience Fresher Salary 10 Lac To 11 Lac P.A. Industry Front Office / Reception/Computer…,,30+ days ago,https://ae.indeed.com/rc/clk?jk=984e0ea266da914b&fccid=b59e1dacbb0cb645&vjs=3
ALSS Senior Engineer - Filtration Mechanics,Farah Experiences,Abu Dhabi,In this role you will ensure a smooth and efficient operations of the SeaWorld Abu Dhabi facilities in Zoological Department by leading the ALSS (Animal Life…,,19 days ago,https://ae.indeed.com/rc/clk?jk=caff3b22b309a250&fccid=928854a9391cd3bb&vjs=3
Assistant Housekeeping Manager,"Marriott International, Inc",Dubai,"Inspect guest rooms, public areas, pool, etc. after being cleaned by Housekeeper to ensure quality standards.
Communicate issues to next shift.",,18 days ago,https://ae.indeed.com/rc/clk?jk=2865ea6a973236d1&fccid=d47acb5b5596d9e4&vjs=3
Pharmacist,Ferapeat Global Recruitment,UAE,"Nurses with Bachelor or Diploma Degree.
For applying, candidates have to qualified DHA, HAAD, Prometric and Dataflow certificate is mandatory as per the…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=120c0e1788f2d387&fccid=d0544e84fcacd8be&vjs=3
Assistant Technician - FM Civil & Furniture - Carpenter - this role is with our outsourcing partner Serco,Dubai Airports,Dubai,"The purpose of the role is to carryout preventative, corrective and breakdown maintenance within a facilities management civil works section, individually or as…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=c4752aaa557dbbab&fccid=b1b72a0873ccea59&vjs=3
Housekeeping Room Attendant,WHR Solution,Fujairah,"? Ensure that all keys, equipment and records are returned to the Housekeeping office.
Nestled between the foothills of the Hajar Mountains and the glistering…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=54c44671daa92f8a&fccid=0b6ceee04f9ad27c&vjs=3
OB-GYN,Black Pearl Consult,Dubai,"Coordinate with other hospital or office staff, including nurses, specialists, and assistants.
Care for and treat women during and after pregnancy and…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=f2de768668f5c7c1&fccid=e9d731aa91b2d791&vjs=3
Spa Receptionist,"Marriott International, Inc",Dubai,"Be responsible for access control, daily sales and guests needs i.e. locker keys, towel and bookings.
Update all reports and databases as needed.",,19 days ago,https://ae.indeed.com/rc/clk?jk=4fbe2c973eb50b75&fccid=d47acb5b5596d9e4&vjs=3
Assistant Professor/Program Leader,Al Khawarizmi International College,UAE,"Provide students with academic advising during the registration period, constantly monitor their study plans and adhere to office hours.",,21 days ago,https://ae.indeed.com/rc/clk?jk=5ce4ba9038c37f94&fccid=e5e4309ec04ef187&vjs=3
Assistant Professor in Respiratory Care,Al Khawarizmi International College,UAE,"Provide students with academic advising during the registration period, constantly monitor their study plans and adhere to office hours.",,21 days ago,https://ae.indeed.com/rc/clk?jk=2d730516edbd68e6&fccid=e5e4309ec04ef187&vjs=3
Office Assistant,Oasis Investment Company LLC - Al Shirawi Group,Dubai,"Preparation of LPO in oracle.
Job tracker entry, follow up & update the tracker.
Preparing, updating the tracker and filing of payment certificates.",,7 days ago,https://ae.indeed.com/company/Oasis-Investment-Company-LLC---Al-Shirawi-Group/jobs/Office-Assistant-27b924c3c8d292f0?fccid=165e1b400dd4179d&vjs=3
Office Support Assistant,Infotech For Employment Sole Proprietorship LLC,Abu Dhabi,"Requisitions, maintains and distributes office stationery and supplies.
Includes receiving people coming into the office of assigned Division Manager, answering…",,7 days ago,https://ae.indeed.com/company/Infotech-For-Employment-Sole-Proprietorship-LLC/jobs/Office-Support-Assistant-02dbbb5e35a63669?fccid=9d2e3e618088f76f&vjs=3
Office Assistant,Rons Enviro care LLC,Dubai,Candidates with hands on experience in MS Office applications and with good communication skills in English and able to work with dedication are required to…,,5 days ago,"https://ae.indeed.com/company/Rons-Enviro-Care,fm/jobs/Office-Assistant-8260ece3eab53d4d?fccid=7210b3bf55832ad8&vjs=3"
ADMIN ASSISTANT FOR A REPUTED CONSTRUCTION COMPANY IN ABU DHABI,DEOW INTERNATIONAL,Abu Dhabi,"Update and maintain office policies and procedures.
Order office supplies and research new deals and suppliers.
Answer and direct phone calls.",,13 days ago,https://ae.indeed.com/company/deow-international/jobs/Admin-Assistant-Reputed-Construction-Company-ba16da4b026f21d2?fccid=721aee27563053ca&vjs=3
Office Assistant,NewStar Property Management,Abu Dhabi,"Proven experience as a back-office assistant, office assistant, virtual assistant, or in another relevant administrative role.
Job Types: Full-time, Contract.",,1 day ago,https://ae.indeed.com/company/Newstar-Property-Management/jobs/Office-Assistant-55b4464085c92aec?fccid=e232fdb6f3697caf&vjs=3
Administrative Assistant,Divinity target consultancy services Inc,Dubai,"We provide every employee with the sanitary masks, we check body temperature every day in the office.
1.The candidate must be 21-35 years old.",,7 days ago,https://ae.indeed.com/company/Divinity-target-consultancy-services-Inc/jobs/Administrative-Assistant-65e9fe4235588969?fccid=81914c989acbc959&vjs=3
Office Assistant / Office Boy,GREEN AUTOWORKS,Dubai,"Maintain office cleanliness at all times.
Office aide: 1 year (Preferred).
Prepare and serve Tea / Coffee or water as requested.",,6 days ago,https://ae.indeed.com/company/Green-Autoworks/jobs/Office-Assistant-b05470cc4e67b1df?fccid=bc31ab4f90b917e8&vjs=3
Female Office assistant,soukchic,Dubai,"Proven experience as an office administrator, office assistant or relevant role.
The tasks of the office administrator will include bookkeeping and mentoring…",,13 days ago,https://ae.indeed.com/company/ALTA-TECH-DWC-LLC/jobs/Female-Office-Assistant-62533a3e27263a31?fccid=3f477267445bfa3f&vjs=3
Office Administrator,PEROrient Building Contracting LLC,Dubai,"Coordinate repairs to office equipment.
Provide administrative support to ensure efficient operation of the office.
Answer and direct phone calls.",,16 days ago,https://ae.indeed.com/company/PEROrient-Building-Contracting-LLC/jobs/Office-Administrator-334d991ad2a4963c?fccid=92717fd0e9d9575d&vjs=3
Administrative Assistant,R K Property Real Estate Broker,Dubai,"Coordinates for office supply acquisitions and procures upon approval.
Supervising and monitoring the work of administrative staff and managing office-related…",,6 days ago,https://ae.indeed.com/company/R-K-Property-Real-Estate-Broker/jobs/Administrative-Assistant-16e3efe4e2b936e1?fccid=026ebc47f6a6f2d1&vjs=3
Office Assistant / Office Boy,Al Jawal Contracting,Dubai,"Office assistance: 1 year (Preferred).
Provide all routine of work Office Boy.
Assist to Secretary to filing documentation.",,30+ days ago,https://ae.indeed.com/company/Al-Jawal-Contracting/jobs/Office-Assistant-ae53891ce1fea648?fccid=29f182e829802528&vjs=3
Administrative Assistant,Biskom International DMCC,Dubai,"Taking all calls coming to the office and directing to the correct colleagues.
Supporting sales and procurement by preparing price lists / quotation lists /…",,15 days ago,https://ae.indeed.com/company/Biskom-International-DMCC/jobs/Administrative-Assistant-8ef6f3e1636318b7?fccid=aa5ffb1fb2620aee&vjs=3
Office Girl,NCSF NATIONAL CATERING AND FOODSTUFF LLC,Abu Dhabi,"Arranging meeting room and personal office.
Inter office information and the messenger job.
Office Girl shall provide adequate supplies and services for all…",,6 days ago,https://ae.indeed.com/company/NCSF/jobs/Office-Girl-68a2554395bc291d?fccid=fcdc8c3e683b38db&vjs=3
Office Assistant / Office Boy,London American City College,Sharjah,"Office aide: 1 year (Preferred).
Kindly Apply with complete CV and Visa Status.
Job Types: Full-time, Contract, Permanent.",,30+ days ago,https://ae.indeed.com/company/London-American-City-College/jobs/Office-Assistant-2d0f550d38f1b3d8?fccid=96b3838f8db08ca0&vjs=3
Office Assistant,Wood & Steel Furnitures - Dubai,Sharjah,"Ensure smooth and professional office operations.
Manage office supplies stock and place orders.
Office assistant: 5 years (Required).",,8 days ago,https://ae.indeed.com/company/Wood-&-Steel-Furnitures/jobs/Office-Assistant-2f723e64cb18297e?fccid=ca44047bc5b464d1&vjs=3
Personal Assistant,Rise,Dubai,"Organize and schedule meetings and appointments.
Produce and distribute correspondence memos, letters, faxes and forms.
Develop and maintain a filing system.",,21 days ago,https://ae.indeed.com/company/Rise/jobs/Personal-Assistant-17c9fc7d69ced856?fccid=d3cc26a925f7e4a4&vjs=3
Office Assistant / Office Boy,Lectera,Dubai,"Supervise any repairs/renovation occurring in the office.
Assistance during the preparation for events in the office.
Replace the water in the cooler.",,8 days ago,https://ae.indeed.com/company/Lectera/jobs/Office-Assistant-d84940f2188ba081?fccid=770722e35672ae38&vjs=3
Receptionist / Admin Assistant,JS,Jebel Ali Freezone,"Responsible for handling the office reception & admin duties.
Direct visitors to the appropriate person and office.
Job Types: Full-time, Contract.",,7 days ago,https://ae.indeed.com/company/JSME/jobs/Receptionist-277eabe27dcf69a5?fccid=da8272e9d3d86f31&vjs=3
Assistant Front Office Manager,Millennium Al Rawdah ( Abu Dhabi ),Abu Dhabi,"Prepare performance reports related to front office.
Participates in the selection of front office personnel.
Evaluates the job performance if each front office…",,9 days ago,https://ae.indeed.com/company/Millennium-Al-Rawdah-(-Abu-Dhabi-)/jobs/Assistant-Front-Office-Manager-6e84adb4183ca3ce?fccid=94ef41ec9b0561ae&vjs=3
Office Assistant,Padra Clinic,Dubai,"- Resolve office-related malfunctions and respond to requests or issues*.
We are looking for a competent Office Assistant to help with the organization and…",,25 days ago,https://ae.indeed.com/company/Padra-Medical-center/jobs/Office-Assistant-26417c2a4c165681?fccid=8aec848e2d7680bb&vjs=3
Office Assistant,International Gas Services Est,Abu Dhabi,A suitable candidate must have good English communication skills and willing to join immediately.,,1 day ago,https://ae.indeed.com/company/International-Gas-Services-Est/jobs/Office-Assistant-0c6f5defc26554ff?fccid=9785d463e40aa06b&vjs=3
Admin Assistant / Coordinator,Image Advertising L.L.C.,Abu Dhabi,"Working knowledge of common office equipment (e.g. optical scanner).
Experience with the use of MS Office applications, “back-office” and accounting software.",,15 days ago,https://ae.indeed.com/company/image-advertising/jobs/Admin-Assistant-b3edcdd4ed47182f?fccid=755706cc9704b3d6&vjs=3
Uniforms Products & Service Delivery Supervisor,Action Hospitality (ACH),Sharjah,"To assist in every stage of the uniform process ensuring consistent quality from initial design concept, development, manufacturing, stock management and wearer…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=e8e3541771572dc4&fccid=dd616958bd9ddc12&vjs=3
Assistant Technician - FM Civil & Furniture/ Joinery- this role is with our outsourcing partner Serco,Dubai Airports,Dubai,"Various types of office furniture.
The purpose of the role is to carryout preventative, corrective and breakdown maintenance within a civil works workshop…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=76644e2924afb6e2&fccid=b1b72a0873ccea59&vjs=3
Office Assistant / Office Boy,ITC FZE,Dubai,"Office boy: 3 years (Preferred).
Other remarks : Presentable, Pleasing personality, ready for office cleaning works, & available in UAE , immediately available.",,21 days ago,https://ae.indeed.com/company/ITC-FZE/jobs/Office-Assistant-6666d567cd11d42d?fccid=88ce3cb11b5b9b39&vjs=3
Accounts Assistant,MINISO JAPAN - UAE,Dubai,"Should be expert in MS office, MS Excel.
Prepare accounts receivable and payable.
Coordinate with store for Daily sales report and deposit.",,8 days ago,https://ae.indeed.com/company/MINISO---UAE/jobs/Account-Assistant-5025f096d0ef06db?fccid=e98802cc75009961&vjs=3
Hiring for Female Admin Assistant,Multi Masters Technical Services LLC,Dubai,"Knowledge of office management systems and procedures.
Administrative assistant: 2 years (Preferred).
Must have 2 years experience in technical company.",,5 days ago,https://ae.indeed.com/company/Multiplex-Cleaning-Services/jobs/Female-Admin-Assistant-a826ead1734825aa?fccid=cbf11d449b5008f1&vjs=3
Office Administrative Assistant (Female),Maples,Ajman,"Candidate must be Minimum Graduate in Business Administration or equal Degree Holder.
Should have minimum of 2 years of experience in Office Administration.",,17 days ago,https://ae.indeed.com/company/Maples/jobs/Office-Administrative-Assistant-f2d39be88c09d9c9?fccid=18331d27995205b4&vjs=3
Office Assistant/Receptionist,Nursery,Dubai,"We are a British curriculum nursery located in Mankhool, Bur Dubai.
We are currently recruiting for an Female Office Assistant / Receptionist for our nursery,…",,21 days ago,https://ae.indeed.com/company/Cambridgeshire-Nursery/jobs/Office-Assistant-Receptionist-3d27b6c75bf2a0af?fccid=0b938b32a23a479f&vjs=3
Administrative Assistant,Sogefi Properties,Dubai,"Administrative assistant: 1 year (Required).
Admin Assistant Position involves the candidate to handle incoming calls and administration duties of the firm.",,22 days ago,https://ae.indeed.com/company/Sogefi-Properties/jobs/Administrative-Assistant-85ac2da32b25673a?fccid=75d6521f7b49a047&vjs=3
Office Assistant female,Usman Butt Electro Mechanical Services,Umm al-Quwain City,"Office assist cum clark basic computer min intermidite or high school english sopken good looking girl.
Salary: From AED1,500.00 per month.",,3 days ago,https://ae.indeed.com/company/Usman-Butt-Electro-Mechanical-Services/jobs/Office-Assistant-Female-c65f060265ec57ed?fccid=96d88edb37b000e3&vjs=3
Admin Assistant,Asteco Property Management,Dubai,"Administrative assistant: 1 year (Preferred).
Steco Property Management Required Assistant Administrator for for Al Qouz Office*.
Good oral and written skills.",,8 days ago,https://ae.indeed.com/company/Asteco-Property-Management/jobs/Admin-Assistant-fa7e5193d08de547?fccid=6767088391f75da5&vjs=3
Assistant Front Office Manager,Al Khoory Hotels,Dubai,"Conducts internal and cross trainings to all front office staff as per the job requirements and training plan.
FRONT OFFICE SUPERVISOR/ GUEST SERVICE OFFICER.",,30+ days ago,https://ae.indeed.com/company/Al-Khoory-Hotels/jobs/Assistant-Front-Office-Manager-1447108b0b64c446?fccid=c6450f7476e947ee&vjs=3
Receptionist / Personal Assistant,Services LLC,Abu Dhabi,"Daily organization of the reception and office management (stationary stock, uniforms).
We are looking for a Receptionist / Personal Assistant to Managing…",,6 days ago,https://ae.indeed.com/company/SERVICES-LLC/jobs/Receptionist-0c06cd2ad5a0609a?fccid=2de46ab5329b7ea5&vjs=3
Marketing Assistant,SBGC,Dubai,"We are looking for a candidate with good knowledge of general marketing-communications, with excellent organizational skills, attention to details and ability…",,Just posted,https://ae.indeed.com/company/SBGC/jobs/Marketing-Assistant-8c4cf8813d0f6eae?fccid=2d6914f9ce7b426d&vjs=3
Male Office Secretary,Bionics Medical Equipments Trading LLC,Dubai,"Familiarity with office organization and optimization techniques.
Office secretary: 1 year (Preferred).
Proven work experience as a secretary or administrative…",,16 days ago,https://ae.indeed.com/company/Bionics-Trading-FZE/jobs/Male-Office-Secretary-69ef2c3a06fde053?fccid=902590eabf3b41db&vjs=3
Administrative Assistant - Arabic Ladies Only,CUPLE ST L.L.C.,Dubai,"Proven admin or assistant experience.
Knowledge of office management systems and procedures.
Administrative assistant: 1 year (Preferred).",,1 day ago,https://ae.indeed.com/company/CUPLE-ST-L.L.C./jobs/Administrative-Assistant-bc67ebb7a801e8c1?fccid=4a48ec768befb2a2&vjs=3
Administrative & Accounts Assistant,Property Junction International Real Estate Broker...,Dubai,"Strong organization and office administration skills.
Knowledge and high level of proficiency in the use of all office equipment.",,2 days ago,https://ae.indeed.com/company/Property-Junction-International-Real-Estate-Broker-LLC/jobs/Administrative-Account-Assistant-5b3584c0951b5022?fccid=257320a550817ccb&vjs=3
Receptionist/Office Assistant,Tariq Al Roqi Project Management,Dubai,"Assist office staff with relevant documents writing and copying.
You will also be assigned duties as required (i.e. organization of inbound and outbound mail,…",,3 days ago,https://ae.indeed.com/company/Tariq-Al--Roqi-Project-Management/jobs/Receptionist-Office-Assistant-547cda9d562e3bba?fccid=3310fe62174200b8&vjs=3
Accountant / Office Admin Assistant,Glimpse Legal Translation,Dubai,"Candidate also needs to have experience with VAT and proficient in using Microsoft application.
Job Types: Full-time, Permanent.",,29 days ago,https://ae.indeed.com/company/Glimpse-Legal-Translation/jobs/Accountant-fb4ffcae6a354586?fccid=f7ba31d7d90b6e40&vjs=3
Office Assistant / Office Boy,Score Plus- Inlingua -Abu Dhabi,Abu Dhabi,"Office assistant: 1 year (Preferred).
Pantry cleaning, lounge cleaning, office cleaning, detailed weekly and daily cleaning of certain areas of the office.",,19 days ago,https://ae.indeed.com/company/Score-Plus-Education-LLC/jobs/Office-Assistant-90d30d82146f2694?fccid=28bc26a87a07b225&vjs=3
Abu Dhabi Intern,Axios International,Abu Dhabi,"The purpose of this role is to co-ordinate patient applications in Patient Access Program(s) in Abu Dhabi.
The jobholder will carry out administrative duties to…",,7 days ago,https://ae.indeed.com/rc/clk?jk=2ca693c54ac7ea87&fccid=44566189a0228e5e&vjs=3
FEMALE JUNIOR ASSISTANT ACCOUNTANT,Multisystem Technology FZE,Sharjah Airport,"Preferably with knowledge of peachtree software and MS office applications.
Logistics and admin background is an advantage.
Job Types: Full-time, Permanent.",,8 days ago,https://ae.indeed.com/company/Multisystem-Technology-FZE/jobs/Female-Junior-Assistant-Accountant-5bddd037ace6667f?fccid=7c88284bc16c716e&vjs=3
Administrative Assistant,Yamak Medical Technologies FZE,Sharjah,"Coordinate repairs to office equipment.
Proven admin or assistant experience.
Greet and assist visitors to the office.
Answer and direct phone calls.",,8 days ago,https://ae.indeed.com/company/Yamak-Medical-Technologies-L.L.C/jobs/Administrative-Assistant-058c6e8e47b3b5f7?fccid=d32978b1fb8ab061&vjs=3
Office Assistant,PHOENIX,Abu Dhabi,"Job Types: Full-time, Permanent.
ALL CUSTOMER REQUIRED TO WEAR MASK.",,21 days ago,https://ae.indeed.com/company/INDUS-MEDICAL-CENTER/jobs/Office-Assistant-22e21e1afd51b8b7?fccid=824837953d9beafd&vjs=3
Admin Assistant,BOOKTOPIA,Dubai,"Administrative assistant: 1 year (Preferred).
Provides administrative support to ensure efficient operation of office.",,6 days ago,https://ae.indeed.com/company/BOOKTOPIA/jobs/Admin-Assistant-e0cb6eeeaf8a92ac?fccid=f02c3a1fcedfbb36&vjs=3
Assistant Finance Manager,Elite Express Cargo LLC,Dubai,"Providing support for cashflow planning.
Tax structuring for each country of operation.
Preparing/reviewing the annual budget.
Job Types: Full-time, Permanent.",,30+ days ago,https://ae.indeed.com/company/Elite-Express-Cargo-LLC/jobs/Assistant-Finance-Manager-a29195c249fb434a?fccid=9a491c08e572a273&vjs=3
Accounting Assistant,First WAP International DMCC,Dubai,We are searching for a motivated Accounting Assistant who is an excellent multitasker with exceptional communication and time management skills.,,9 days ago,https://ae.indeed.com/company/First-WAP-International-DMCC/jobs/Accounting-Assistant-d9a10f9d43766d6c?fccid=855d99554d04415f&vjs=3
Assistant Front Office Manager with Duty Manager Responsibilities,PPL Consult,Dubai,"Overseeing the Front Desk Operation, you will have a strong presence in the Hotel, leading and motivating a team to deliver excellent customer service Be…",,22 days ago,https://ae.indeed.com/company/QE2/jobs/Assistant-Front-Office-Manager-Duty-Manager-Responsibility-713fe468b59555bf?fccid=2a85f4280095a3f0&vjs=3
Personal Assistant,Math Quotient,Dubai,"Devise and maintain an office filing system.
Knowledge of office management systems and procedures.
Up-to-date with latest office gadgets and applications.",,30+ days ago,https://ae.indeed.com/company/Math-Quotient/jobs/Personal-Assistant-d12731809c77af34?fccid=8e64fc4800fa4bf6&vjs=3
Office Assistant / Office Boy,DEOW INTERNATIONAL,Dubai,"Office Boy: 1 year (Required).
Data Entry Work whenever required.
Job Types: Full-time, Permanent.",,25 days ago,https://ae.indeed.com/company/deow-international/jobs/Office-Assistant-9ff9fcf42eb0ed27?fccid=721aee27563053ca&vjs=3
Administrative Assistant,Tribe Distribution DMCC,Dubai,"Understanding of office management systems.
Administrative assistant: 2 years (Required).
Two-year degree in office management, business administration, or…",,19 days ago,https://ae.indeed.com/company/Tribe-Distribution-DMCC/jobs/Administrative-Assistant-77e2101d5869429b?fccid=16f63e4a2939f8ce&vjs=3
Admin & Accounts Assistant,Ajman Bakery,Ajman,"General admin works for the office.
Assist in preparing P&L, cash flows, cheques and other financial statements.
Van sales billing and daily sales reports.",,1 day ago,https://ae.indeed.com/company/Al-Reem-Bakery-LLC/jobs/Admin-Account-Assistant-3f10908766791975?fccid=9313b9fb2f5d3172&vjs=3
Assistant Financial Controller,Millennium Central Downtown,Dubai,"Ensure that the guests have best possible experience by trouble-shooting and resolving all billing-related disputes.
Job Types: Full-time, Permanent.",,9 days ago,https://ae.indeed.com/company/MILLENNIUM-CENTRAL-DOWNTOWN/jobs/Assistant-Financial-Controller-08f04081e7eee711?fccid=121463f55544d8b7&vjs=3
Executive Assistant/ Sales Support,InterSystems,Dubai,"Act on behalf of the Managers as a liaison between internal departments, offices, and clients.
Coordinate travel bookings (domestic and international) for the…",,7 days ago,https://ae.indeed.com/rc/clk?jk=6e70587a51340586&fccid=6b4b2a01b2417a65&vjs=3
[Woman Only / Arabic Speaker] Secretary for Engineering Office,للإستشارات الهندسية,Sharjah,"Update office policies as needed.
Ensure smooth and professional office operations.
Manage office supplies stock and place orders.",,9 days ago,https://ae.indeed.com/company/Al-Qusour/jobs/Secretary-Engineering-Office-f48c21491a584a0a?fccid=01bce1cc20b80443&vjs=3
Personal Assistant,Headway Holding Group,Abu Dhabi,"Devise and maintain office filing system.
Knowledge of office management systems and procedures.
Up-to-date with latest office gadgets and applications.",,30+ days ago,https://ae.indeed.com/company/Headway-Management-Services/jobs/Personal-Assistant-172aedbfd993b1f7?fccid=451237ff5ce58baf&vjs=3
Sales and Marketing Assistant (Middle East Region),HMME,Jebel Ali Freezone,Support and coordinate between counterpart’s projects in principal office and undertake all marketing coordination and administration efforts as required.,,1 day ago,https://ae.indeed.com/company/Hino-Motors-Middle-East/jobs/Sales-Marketing-Assistant-b3552351e09c73f0?fccid=c1c82de9cce19e99&vjs=3
Assistant Accountant,MOHD KHOSHAB GEN TRD CO,Dubai,"Job Types: Full-time, Permanent.",,13 days ago,https://ae.indeed.com/company/MOHD-KHOSHAB-GEN-TRD-CO/jobs/Assistant-Accountant-fdddd72eebde9cbd?fccid=f0cb9d14445aa105&vjs=3
Assistant Store Keeper,International Trading Group,Dubai,"Assistant Store Keeper - Age must be below 30 *years.
Must have Graduate Degree (Bachelor).
Should have min 3-4 years experience in warehouses*.",,28 days ago,https://ae.indeed.com/company/International-Trading-Group/jobs/Assistant-Store-Keeper-0e391f2ac211f512?fccid=4012270da0551265&vjs=3
HSE Administrator,Safe Green Safety Consultancies,Abu Dhabi,"Any specific trainings such as time management, MS office skills, report writing, etc. preferred.
03-04 years of overall experience in FM industry similar or…",,8 days ago,https://ae.indeed.com/company/Safe-Green-Safety-Consultancies/jobs/HSE-Administrator-0e608270102c1321?fccid=956c76e26ad14fb7&vjs=3
Warehouse Storekeeper,UNION COPPER ROD LLC,Abu Dhabi,"Trains and directs the work of student assistants.
Makes intra and intercampus deliveries of requested surplus office furniture and merchandise; maintains…",,20 days ago,https://ae.indeed.com/company/UNION-COPPER-ROD-LLC/jobs/Warehouse-Storekeeper-49104ad2acf8bc3d?fccid=0eb0ad6790eeef04&vjs=3
Procurement Assistant,FAM Holding LLC,Dubai,"This position depend on communication skills and Ms-Excel.
There will be 5% commission*.
Follow up with suppliers for vender list system.",,Today,https://ae.indeed.com/company/FAM-Holding-LLC/jobs/Procurement-Assistant-f40b321b20ba5ccc?fccid=67adcff3165335cf&vjs=3
Office Secretary,ANOC,Ajman,"Familiarity with office organization and optimization techniques.
Check frequently the levels of office supplies and place appropriate orders.",,30+ days ago,https://ae.indeed.com/rc/clk?jk=ec4da216d3091ba3&fccid=9b78c219bdf39d2f&vjs=3
Human Resources Assistant (Payroll & Admin),Future Architectural Glass LLC,Ras al-Khaimah,"Location: * Al Ghail Industrial Area, RAK, UAE.
Assists in the administering of HR policies & procedures.
Responsible for generating the monthly payroll process…",,4 days ago,https://ae.indeed.com/company/Future-Architectural-Glass-LLC/jobs/Human-Resource-Assistant-621d954510b7c783?fccid=269f51cb3b723312&vjs=3
Hospitality Background - Store In-charge / Account Assistant,Street Diversions Restaurant,Dubai,"Performing basic office tasks, such as filing, data entry, answering phones, processing the mail, etc.
Conducting product research and sourcing new suppliers…",,21 days ago,https://ae.indeed.com/company/Street-Diversions-Restaurant/jobs/Hospitality-Background-2fc3119935eec308?fccid=f9b0a8de67070a45&vjs=3
Assistant Department Manager - Fashion Retail,Street Bites,Al-Ayn,Use commercial information and product knowledge to drive sales and other activity in the store using the internal tools provided.,,4 days ago,https://ae.indeed.com/company/street-bites/jobs/Assistant-Department-Manager-159eaa9baf2d11de?fccid=1a81745882ff4407&vjs=3
Personal Assistant to CEO,PRESTIGE REAL ESTATE,Dubai,"Familiarity with office management procedures and basic accounting principles.
Track stocks of office supplies and place orders when necessary.",,6 days ago,https://ae.indeed.com/company/PRESTIGE-REAL-ESTATE/jobs/Personal-Assistant-CEO-1b8be61b1c3d4885?fccid=11d21580e90972cc&vjs=3
Assistant Accountant,Al Rashid Transporting and Clearing Establishment,Mussafah,"Recording office expenditures and ensuring these expenses are within the set budget.
Preparing financial documents such as invoices, bills, and accounts payable…",,30+ days ago,https://ae.indeed.com/company/Al-Rashid-Transporting-and-Clearing-Establishment/jobs/Assistant-Accountant-c5d43f652ec1c867?fccid=02357cc4ff3661ed&vjs=3
Administrative Assistant,Multiplex Cleaning Services,Dubai,"Administrative assistant: 1 year (Preferred).
Organize and schedule meetings and appointments.
Produce and distribute correspondence memos, letters, faxes and…",,23 days ago,https://ae.indeed.com/company/Multiplex-Cleaning-Services/jobs/Administrative-Assistant-af431c66eca7f107?fccid=cbf11d449b5008f1&vjs=3
Admin Assistant,Grosvenor,Dubai,"Maintain office, documents control and filing.
We are looking for all-rounded individual capable to complete tasks from data entry to accounting to customer…",,21 days ago,https://ae.indeed.com/company/Grosvenor/jobs/Admin-Assistant-800a87db422f489d?fccid=45d4eebf741bad3c&vjs=3
Office Assistant - Female,Omniyat,Dubai,"Office assistant: 1 year (Preferred).
The successful candidate will maintain the cleanliness of the pantry, monitor office and pantry supplies, prepare and…",,30+ days ago,https://ae.indeed.com/company/omniyat/jobs/Office-Assistant-7ca2305dd58bd46b?fccid=3205ee59ffa56700&vjs=3
Receptionist / Admin Assistant,Lignum Interiors,Dubai,"Administrative assistant: 2 years (Required).
Provides administrative support to ensure efficient operation of the office.",,20 days ago,https://ae.indeed.com/company/Lignum-Interiors-LLC/jobs/Receptionist-b11faa189b316fdb?fccid=e741bbd9596d3548&vjs=3
